"DNA.1" "DNA.2" "DNA.3" "DNA.4" "DNA.5" "DNA.6" "RNA.1" "RNA.2" "RNA.3" "RNA.4" "RNA.5" "RNA.6" "group" "group2" "group3"
"chr2:222266765-222267165" 667 440 535 684 805 679 1560 1456 818 823 974 1389 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr2:222355308-222355708" 601 504 496 618 644 596 889 1230 493 420 535 588 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr2:222366163-222366563" 1322 858 1247 1317 1541 1316 1980 2030 1257 1232 1095 1817 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr2:222392675-222393075" 77 50 54 66 104 83 25 43 30 14 16 30 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr2:222418064-222418464" 2366 1456 2146 2585 2885 2528 1525 1603 763 614 660 818 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr2:222517908-222518308" 251 243 299 344 389 329 267 301 137 148 156 206 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr2:222596210-222596610" 1312 1227 1348 1536 1618 1423 1391 1537 728 696 695 903 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr2:222627170-222627570" 686 373 555 600 920 681 877 1064 569 445 639 637 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr2:222657909-222658309" 959 494 748 970 1247 1057 251 266 126 98 90 184 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr2:222658919-222659319" 41 51 52 57 51 63 232 316 95 66 90 197 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr2:222773311-222773711" 5126 4451 4961 6433 6190 5575 2377 2528 1327 1196 1430 1752 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr2:225011143-225011543" 254 93 178 244 270 215 767 625 426 397 471 540 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr22:25746585-25746985" 3989 3923 4286 4738 5019 4328 229 136 62 114 256 161 "d0_noncoding" "Neg" "Neg_1"
"chr22:25771649-25772049" 96 66 62 66 89 86 181 188 87 92 70 190 "d0_noncoding" "Neg" "Neg_1"
"chr22:25800754-25801154" 0 0 0 0 0 0 0 0 0 0 0 0 "d0_noncoding" "Neg" "Neg_1"
"chr22:27068512-27068912" 2357 1304 1798 2232 2812 2259 1975 1935 1283 1189 1043 2559 "d0_exon_nonHHE" "Neg" "Neg_2"
"chr2:227637368-227637768" 10 5 11 9 22 9 11 6 2 5 6 5 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr22:28309106-28309506" 834 355 607 656 994 839 3490 3273 1999 2011 2242 2648 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr22:29209702-29210102" 827 512 706 865 947 912 292 412 161 149 140 222 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr22:29525453-29525853" 731 656 594 739 732 682 443 431 299 299 201 478 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr22:30130869-30131269" 1027 662 938 1082 1224 910 21 49 20 9 15 13 "d0_noncoding" "Neg" "Neg_1"
"chr22:30183548-30183948" 12731 12234 12711 14924 15532 13149 10613 12225 6191 6365 3958 11121 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr22:30217262-30217662" 5710 4941 5419 6529 6720 6047 3561 3973 2379 2230 2082 3092 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr22:30303731-30304131" 258 131 129 202 207 218 247 189 110 124 63 227 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr22:30953205-30953605" 1754 1476 1712 1674 2172 1935 570 650 315 390 253 726 "d0_noncoding" "Neg" "Neg_1"
"chr22:31455748-31456148" 2886 2399 2652 3181 3584 2884 1867 2304 1214 1302 865 2465 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr22:31627161-31627561" 1508 1471 1798 2068 2077 1929 1921 1988 986 862 833 1402 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr22:31975880-31976280" 6099 4185 5141 6570 7185 6181 6179 6316 3362 2956 3137 4889 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr22:31998223-31998623" 1910 1702 1885 2165 2590 2118 7707 7302 3975 3883 3685 5984 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr2:232626462-232626862" 68 28 47 51 69 61 296 200 146 129 126 232 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr2:232918509-232918909" 435 99 230 252 466 367 248 153 135 130 103 294 "d0_noncoding" "Neg" "Neg_1"
"chr22:33024868-33025268" 261 124 172 250 357 280 338 296 223 185 168 366 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr2:233025-233425" 116 30 82 98 143 120 115 65 48 50 48 96 "d0_exon_nonHHE" "Neg" "Neg_2"
"chr22:33096126-33096526" 455 281 379 493 620 528 355 367 224 160 210 341 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr22:33276942-33277342" 2196 1777 2057 2446 2797 2271 2093 1817 1567 1816 1292 1916 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr2:233288064-233288464" 2739 2956 2703 3393 3141 3306 1529 1948 794 831 821 1074 "d0_noncoding" "Neg" "Neg_1"
"chr22:33345814-33346214" 5757 5853 6332 7132 6822 6593 9923 11395 5886 5408 5935 7331 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr2:233368245-233368645" 3349 1774 2701 3198 4339 3458 1413 1474 609 579 102 1085 "d0_noncoding" "Neg" "Neg_1"
"chr22:33434179-33434579" 5772 5086 5777 6841 7415 5795 6177 5867 3236 3330 2891 6898 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr2:234269361-234269761" 24 1 8 11 32 25 8 3 8 5 0 9 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr2:235335873-235336273" 162 94 120 132 163 153 181 230 106 73 67 139 "d0_noncoding" "Neg" "Neg_1"
"chr2:235505342-235505742" 155 67 116 138 164 154 160 145 109 84 89 144 "d0_noncoding" "Neg" "Neg_1"
"chr2:235732515-235732915" 2030 1634 1702 2252 2603 2061 909 1553 523 474 552 716 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr2:235744897-235745297" 937 855 845 1071 1085 955 1087 1252 636 628 641 822 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr2:235779797-235780197" 5184 4097 4635 6008 6098 5319 6180 6840 3542 3054 3742 4074 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr2:235794523-235794923" 1673 1065 1298 1672 1904 1596 1244 1341 679 603 662 1070 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr2:235909617-235910017" 315 106 154 200 289 300 101 87 74 69 34 132 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr22:36000735-36001135" 1658 602 1006 1437 1842 1669 684 863 434 359 329 726 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr22:36279064-36279464" 2787 1686 2253 3108 3495 3074 1416 1361 825 635 698 814 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr22:36326976-36327376" 152 54 82 115 163 105 100 76 39 22 53 40 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr22:36835802-36836202" 21 20 22 40 23 36 51 80 19 6 8 37 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr2:236923360-236923760" 46 11 17 21 18 27 64 70 30 25 33 68 "d0_noncoding" "Neg" "Neg_1"
"chr2:237779106-237779506" 256 182 188 296 323 285 190 129 118 91 112 110 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr2:237780240-237780640" 1198 1285 1204 1506 1363 1294 441 560 266 199 274 421 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr2:237784610-237785010" 3111 2499 2944 3415 4010 3454 2036 1822 1130 999 563 2280 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr2:237855493-237855893" 2366 2203 2193 2695 2393 2269 873 1104 610 479 631 690 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr2:237881293-237881693" 3916 2577 3453 4372 5184 4063 3984 4514 2144 1890 1189 3663 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr2:237897501-237897901" 115 73 123 116 138 146 284 199 145 155 138 291 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr2:237905666-237906066" 408 212 252 340 441 404 259 240 176 143 212 280 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr2:238027383-238027783" 581 455 533 592 708 542 2279 2236 846 964 1180 1245 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr22:38520535-38520935" 12745 9296 11850 13963 16714 13525 14694 14205 8094 7626 3423 18176 "d0_noncoding" "Neg" "Neg_1"
"chr22:39297125-39297525" 18646 19081 21162 24325 25612 20778 16241 17848 8782 8089 7434 13709 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr22:39702719-39703119" 8532 7565 8412 9913 10675 8994 4275 4278 2910 2566 1211 5326 "d0_noncoding" "Neg" "Neg_1"
"chr22:39705240-39705640" 167 113 147 177 215 150 96 69 56 54 35 126 "d0_noncoding" "Neg" "Neg_1"
"chr22:40393929-40394329" 5337 6241 6161 6852 6785 5639 1689 1693 886 883 629 1492 "d0_noncoding" "Neg" "Neg_1"
"chr22:40519384-40519784" 2300 1917 1989 2562 2453 2171 1443 1650 770 772 784 1443 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr22:40579222-40579622" 50 49 60 88 125 79 35 42 22 17 1 23 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr22:40586510-40586910" 288 215 242 299 305 289 399 338 247 179 174 398 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr22:40728262-40728662" 3496 2449 2835 3860 4108 3233 3481 3741 1900 1938 2023 2799 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr22:41324714-41325114" 333 190 240 307 426 371 678 766 385 285 280 561 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr22:41397798-41398198" 49 27 37 51 55 59 27 31 23 18 8 39 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr22:41580734-41581134" 1023 502 793 1068 1308 1210 389 378 196 125 127 353 "d0_noncoding" "Neg" "Neg_1"
"chr22:42241886-42242286" 650 547 576 815 925 760 215 225 114 107 80 83 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr2:242242448-242242848" 1947 1668 1889 2330 2498 2085 1272 1416 720 691 632 1146 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr22:43138966-43139366" 600 217 369 491 807 575 751 657 492 456 308 980 "d0_noncoding" "Neg" "Neg_1"
"chr22:43336202-43336602" 197 174 178 268 230 297 410 327 221 194 115 404 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr2:24526951-24527351" 484 385 417 467 581 456 252 260 141 135 176 244 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr22:45284449-45284849" 5582 4461 5486 6033 7235 5594 2105 2204 1339 1356 523 3370 "d0_noncoding" "Neg" "Neg_1"
"chr22:45353077-45353477" 1414 494 966 1105 1698 1290 1753 1401 985 765 616 1431 "d0_noncoding" "Neg" "Neg_1"
"chr22:45427692-45428092" 15662 19177 16061 16080 20328 16631 6533 8606 4454 4508 5235 6265 "d0_noncoding" "Neg" "Neg_1"
"chr22:45604946-45605346" 1197 585 870 979 1463 1170 301 170 91 188 245 64 "d0_noncoding" "Neg" "Neg_1"
"chr22:45976868-45977268" 1490 727 1148 1406 1999 1627 796 753 399 400 361 834 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr22:46028992-46029392" 2880 1898 2659 3341 4114 3369 788 973 515 407 303 811 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr22:46773532-46773932" 6825 3375 5659 6655 9811 7518 4436 4292 2191 2963 3431 2674 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr22:46971289-46971689" 9429 7865 9288 11120 11743 10370 3593 3776 2451 2353 939 4370 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr22:47298995-47299395" 634 444 661 704 923 799 610 510 343 295 182 492 "d0_noncoding" "Neg" "Neg_1"
"chr22:50936966-50937366" 728 395 584 722 831 682 253 487 220 114 129 270 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr2:26052682-26053082" 9210 6550 9045 10956 12668 10519 2308 2622 1398 1323 1359 2283 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr2:26234840-26235240" 379 262 264 354 363 336 259 251 174 147 128 236 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr2:28906988-28907388" 17 2 10 11 25 15 104 39 32 37 40 122 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr2:28933492-28933892" 665 492 554 714 953 793 377 383 242 163 189 291 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr2:29378427-29378827" 28 2 7 12 33 14 15 8 12 2 9 15 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr2:29379942-29380342" 73 38 61 76 91 56 10 8 2 3 4 25 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr2:30414584-30414984" 155 176 225 209 230 206 92 158 56 68 32 104 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr2:30475777-30476177" 1578 930 1203 1534 1676 1435 792 842 350 340 323 566 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr2:30503529-30503929" 1008 751 925 1115 1224 1075 3204 3075 1907 1686 1461 3030 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr2:30557958-30558358" 140 58 95 130 195 152 168 158 90 58 109 194 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr2:30582478-30582878" 2322 1655 2261 2608 3183 2666 2034 1932 1145 1198 786 2651 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr2:30630443-30630843" 329 156 220 257 355 369 184 137 98 66 76 165 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr2:30733993-30734393" 1195 645 818 1150 1302 1016 477 526 300 189 224 366 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr2:30771860-30772260" 274 84 182 204 370 321 726 505 362 339 356 508 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr2:30790182-30790582" 130 54 73 119 167 146 83 62 23 53 54 39 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr2:33240452-33240852" 18 19 15 17 27 28 26 8 20 18 11 16 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr2:33341917-33342317" 454 361 454 521 625 540 1144 1260 588 517 663 1135 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr2:33435677-33436077" 84 47 58 87 98 92 251 335 153 135 135 196 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr2:33437221-33437621" 4588 4142 4454 5489 5278 4752 3100 3622 1882 1860 2077 2530 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr2:33542587-33542987" 3319 3149 3055 4288 4090 3601 2011 1957 974 966 1046 1355 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr2:36688425-36688825" 191 99 155 180 221 248 229 171 89 89 80 98 "d0_noncoding" "Neg" "Neg_1"
"chr2:37641505-37641905" 13 2 3 3 15 5 3 1 5 2 4 5 "d0_noncoding" "Neg" "Neg_1"
"chr2:38689501-38689901" 787 492 818 944 1079 936 185 210 132 118 136 160 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr2:38742745-38743145" 14232 11961 14624 16510 18323 15377 7480 7810 3887 3820 2963 7383 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr2:38851909-38852309" 3658 3412 3723 4644 4384 3752 4267 4519 2145 2175 2065 2886 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr2:41367405-41367805" 46 5 34 31 46 50 20 19 27 6 17 35 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr2:41387512-41387912" 656 559 719 879 738 649 161 168 84 96 83 98 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr2:42290847-42291247" 1158 687 938 1232 1359 1181 1384 1531 867 774 754 911 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr2:42311444-42311844" 49 24 37 63 78 55 16 19 14 7 10 7 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr2:42360097-42360497" 10550 11489 11727 12749 14069 11106 11366 10910 6236 6437 4704 10863 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr2:42374706-42375106" 3679 2110 2814 3559 4177 3486 2958 3483 1648 1445 1691 2319 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr2:42569570-42569970" 1829 1204 1481 1946 2299 1915 1879 1976 889 980 1243 1965 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr2:43672447-43672847" 223 86 159 210 290 227 375 283 185 154 167 383 "d0_noncoding" "Neg" "Neg_1"
"chr2:46300575-46300975" 4684 4461 5083 5854 6056 4981 6438 7266 2878 3039 2083 4986 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr2:46363593-46363993" 1513 1202 1360 1733 1658 1475 1027 1298 529 643 493 838 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr2:46406281-46406681" 2752 2103 2796 3285 3639 3102 3737 4241 2233 1929 1744 3355 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr2:46420487-46420887" 2925 2669 3135 3336 3829 3159 2592 2618 1526 1387 968 2406 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr2:46511953-46512353" 9 9 13 8 20 5 3 0 1 3 3 11 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr2:46567210-46567610" 1299 779 1130 1304 1739 1372 649 707 353 293 279 698 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr2:46791833-46792233" 1917 2012 1723 2317 2283 1898 743 874 682 531 298 801 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr2:46931795-46932195" 1288 771 945 1284 1388 1173 2829 2768 1526 1680 1778 2576 "d0_noncoding" "Neg" "Neg_1"
"chr2:47925801-47926201" 641 376 573 711 859 701 3125 2802 1630 1548 1705 2285 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr2:47987005-47987405" 107 68 70 96 151 148 46 86 52 17 22 84 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr2:48127062-48127462" 167 66 132 133 171 183 96 146 51 74 67 71 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr2:48270456-48270856" 276 229 348 436 399 338 110 138 81 55 59 72 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr2:49846923-49847323" 258 164 201 307 356 307 407 457 289 291 313 389 "d0_noncoding" "Neg" "Neg_1"
"chr2:49941593-49941993" 1672 1774 1842 2096 2065 1726 734 839 420 423 412 745 "d0_noncoding" "Neg" "Neg_1"
"chr2:50189813-50190213" 10 3 9 5 11 10 16 8 14 11 13 47 "d0_noncoding" "Neg" "Neg_1"
"chr2:50231732-50232132" 290 192 241 268 359 258 292 446 206 213 208 223 "d0_noncoding" "Neg" "Neg_1"
"chr2:50424215-50424615" 576 154 317 370 600 437 280 215 172 142 232 222 "d0_noncoding" "Neg" "Neg_1"
"chr2:51227982-51228382" 134 77 130 157 175 137 130 150 97 106 81 110 "d0_noncoding" "Neg" "Neg_1"
"chr2:51311902-51312302" 9 0 2 3 12 5 6 5 2 3 1 14 "d0_noncoding" "Neg" "Neg_1"
"chr2:51732659-51733059" 4524 3466 3904 4534 5145 4535 3125 3314 1529 1715 2150 3238 "d0_noncoding" "Neg" "Neg_1"
"chr2:51824194-51824594" 102 27 79 106 117 96 32 27 29 12 16 41 "d0_noncoding" "Neg" "Neg_1"
"chr2:51889281-51889681" 206 107 180 232 227 212 170 170 82 81 117 150 "d0_noncoding" "Neg" "Neg_1"
"chr2:52281987-52282387" 153 104 106 158 206 162 131 158 43 64 64 65 "d0_noncoding" "Neg" "Neg_1"
"chr2:54696702-54697102" 2833 2366 2956 3226 3585 2808 2158 2356 1426 1373 1477 2375 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr2:54697381-54697781" 39 7 17 19 43 34 38 6 13 8 20 15 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr2:54791370-54791770" 1839 1393 1707 2172 2238 1892 3934 4105 1941 1809 1853 3643 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr2:54799436-54799836" 176 40 94 102 180 149 119 106 67 33 71 117 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr2:55347741-55348141" 141 43 73 127 153 151 350 293 221 190 159 401 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr2:55375547-55375947" 406 233 292 440 500 397 283 338 151 152 135 209 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr2:55416700-55417100" 2600 1798 2319 2722 2902 2848 471 590 308 262 265 444 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr2:55474127-55474527" 1358 659 1079 1258 1598 1316 589 753 388 297 247 527 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr2:5593622-5594022" 1962 1754 1923 2287 2539 2227 8903 9682 4468 4826 4392 6495 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr2:5647563-5647963" 488 509 689 789 666 638 353 357 153 190 177 339 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr2:5660729-5661129" 2455 2435 2686 3015 3309 2730 2274 2986 1434 1374 1345 2017 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr2:5689058-5689458" 308 111 234 252 347 264 656 611 328 288 434 404 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr2:5768522-5768922" 22743 25035 25846 28972 29177 25135 65516 68725 42205 41170 21476 68593 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr2:5906817-5907217" 1821 1548 1630 2216 2141 1976 2352 2306 1410 1080 1599 1523 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr2:61847622-61848022" 1450 1152 1368 1818 1865 1610 4571 4835 2260 2306 2158 3574 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr2:62155974-62156374" 180 130 161 275 269 278 368 376 202 118 224 196 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr2:63053291-63053691" 129 34 64 81 193 142 150 95 96 55 80 86 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr2:63889504-63889904" 1298 805 1116 1488 1556 1456 1362 1442 803 641 784 1212 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr2:64957612-64958012" 999 670 810 1169 1262 1221 1814 2043 738 755 953 1188 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr2:64994837-64995237" 146 109 315 157 76 621 23 20 10 11 5 27 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr2:66696546-66696946" 438 372 413 440 496 388 21 22 6 11 29 14 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr2:66929551-66929951" 864 393 593 765 934 851 412 417 245 218 221 385 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr2:67558537-67558937" 1488 1100 1155 1397 1661 1341 2086 2134 1019 1047 1017 2124 "d0_noncoding" "Neg" "Neg_1"
"chr2:67567600-67568000" 474 381 386 588 581 494 1187 1519 744 688 788 1120 "d0_noncoding" "Neg" "Neg_1"
"chr2:68107587-68107987" 4586 2769 3900 4749 5520 4590 7276 7406 3932 3746 2990 7899 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr2:68118682-68119082" 314 253 186 246 259 220 292 272 199 144 147 213 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr2:68349519-68349919" 1119 896 1137 1316 1653 1553 755 847 423 367 380 502 "d0_noncoding" "Neg" "Neg_1"
"chr2:69076717-69077117" 921 678 831 1047 1180 1027 386 485 244 169 157 219 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr2:69081145-69081545" 622 263 424 566 720 523 289 335 189 147 167 310 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr2:69087393-69087793" 890 425 572 741 1029 856 1207 1048 720 490 590 927 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr2:69828297-69828697" 801 394 600 720 960 837 536 524 306 261 250 419 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr2:69912797-69913197" 51 32 39 56 55 93 0 11 4 13 2 9 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr2:70004370-70004770" 849 613 691 841 1043 873 2545 2398 1456 1467 1043 2372 "d0_noncoding" "Neg" "Neg_1"
"chr2:72058326-72058726" 1017 686 1114 1217 1493 1307 882 809 486 489 308 916 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr2:72070451-72070851" 5943 6150 6161 7214 7272 5807 14965 15289 8796 9485 7534 15652 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr2:74995518-74995918" 55 19 18 21 43 36 31 36 22 12 13 26 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
